Date,tfut_2_rf,tfut_5_rf,tfut_10_rf,tfut_20_rf,tfut_30_rf,tfut_ois_2,tfut_ois_5,tfut_ois_10,tfut_ois_20,tfut_ois_30,tfut_2_ttm,tfut_5_ttm,tfut_10_ttm,tfut_20_ttm,tfut_30_ttm
2004-06-23,-15.737000000000002,99.455,64.41799999999999,83.17,,146.96,176.8175,176.8175,176.8175,,99.0,191.0,191.0,191.0,
2004-06-24,-19.993,100.95400000000001,63.771,99.725,,147.5688888888889,176.71388888888887,176.71388888888887,176.71388888888887,,98.0,190.0,190.0,190.0,
2004-06-25,-25.089,96.173,56.938,83.94,,149.09722222222223,177.58249999999998,177.58249999999998,177.58249999999998,,97.0,189.0,189.0,189.0,
2004-06-28,-16.785,97.406,47.47,70.548,,150.39777777777778,180.10500000000002,180.10500000000002,180.10500000000002,,94.0,186.0,186.0,186.0,
2004-06-29,105.30600000000001,87.968,53.205000000000005,70.99499999999999,,151.31666666666666,182.1777777777778,182.1777777777778,182.1777777777778,,93.0,185.0,185.0,185.0,
2004-06-30,92.474,71.629,28.665000000000003,13.611999999999998,,147.33333333333334,176.23555555555555,176.23555555555555,176.23555555555555,,92.0,184.0,184.0,184.0,
2004-07-01,,104.10900000000001,70.184,76.897,,,176.33166666666668,176.33166666666668,176.33166666666668,,,183.0,183.0,183.0,
2004-07-02,,89.105,67.39699999999999,88.486,,,175.20666666666668,175.20666666666668,175.20666666666668,,,182.0,182.0,182.0,
2004-07-06,,105.806,75.098,79.2,,,172.36,172.36,172.36,,,178.0,178.0,178.0,
2004-07-07,,104.67299999999999,78.794,88.14699999999999,,,170.13333333333333,170.13333333333333,170.13333333333333,,,177.0,177.0,177.0,
2004-07-08,,110.856,78.927,79.833,,,170.39555555555555,170.39555555555555,170.39555555555555,,,176.0,176.0,176.0,
2004-07-09,,97.32499999999999,71.018,60.24,,,169.88888888888889,169.88888888888889,169.88888888888889,,,175.0,175.0,175.0,
2004-07-12,,103.997,76.69399999999999,81.988,,,169.85555555555555,169.85555555555555,169.85555555555555,,,172.0,172.0,172.0,
2004-07-13,,96.819,55.42,41.654,,,171.51000000000002,171.51000000000002,171.51000000000002,,,171.0,171.0,171.0,
2004-07-14,,100.982,66.23599999999999,71.69,,,172.10000000000002,172.10000000000002,172.10000000000002,,,170.0,170.0,170.0,
2004-07-15,,104.414,67.209,72.124,,,172.50333333333333,172.50333333333333,172.50333333333333,,,169.0,169.0,169.0,
2004-07-16,,94.58800000000001,65.02,70.39999999999999,,,171.46666666666667,171.46666666666667,171.46666666666667,,,168.0,168.0,168.0,
2004-07-19,,101.978,72.345,58.606,,,171.21666666666667,171.21666666666667,171.21666666666667,,,165.0,165.0,165.0,
